序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
1,016370,信澳业绩驱动混合A,2026-05-07,2.8151,2.8151,6.81,8.95,34.96,57.47,73.32,341.45,422.96,268.71,59.42,181.51,334.0941,0.15%
2,016371,信澳业绩驱动混合C,2026-05-07,2.753,2.753,6.81,8.94,34.9,57.24,72.82,338.86,416.8,262.19,59.1,175.3,331.5723,0.00%
3,004320,前海开源沪港深乐享生活,2026-05-07,5.926,5.926,5.05,7.36,44.89,67.42,121.87,333.95,412.67,196.21,73.37,492.6,327.7774,0.15%
4,008528,华泰柏瑞质量成长A,2026-05-07,3.0625,3.0625,5.57,8.54,32.64,60.84,93.27,320.33,293.54,172.78,72.22,206.25,310.0281,0.15%
5,011452,华泰柏瑞质量成长C,2026-05-07,3.0026,3.0026,5.57,8.54,32.61,60.61,92.8,318.54,290.76,169.75,71.9,63.51,308.2393,0.00%
6,022364,永赢科技智选混合发起A,2026-05-07,5.0075,5.0075,2.68,4.3,28.64,36.87,44.61,314.29,,,32.49,400.75,310.8887,0.15%
7,010415,华泰柏瑞质量精选混合A,2026-05-07,2.1289,2.1289,5.15,8.37,31.34,63.16,85.32,313.14,281.52,185.49,68.52,112.89,306.4338,0.15%
8,022365,永赢科技智选混合发起C,2026-05-07,4.961,4.961,2.68,4.29,28.58,36.66,44.18,311.84,,,32.21,396.1,308.4809,0.00%
9,010416,华泰柏瑞质量精选混合C,2026-05-07,2.0774,2.0774,5.15,8.37,31.3,63.15,85.07,311.61,278.19,181.49,68.42,107.74,304.8723,0.00%
10,018956,中航机遇领航混合发起A,2026-05-07,4.8421,4.8421,4.56,6.99,27.58,39.02,55.08,311.04,339.39,,34.2,384.21,295.3703,0.15%
11,018957,中航机遇领航混合发起C,2026-05-07,4.7621,4.7621,4.56,6.98,27.52,38.81,54.62,308.59,334.14,,33.92,376.21,293.0098,0.00%
12,011369,华商均衡成长混合A,2026-05-07,3.4306,3.4306,4.51,7.73,28.94,60.45,98.89,293.6,360.79,257.32,74.2,243.06,290.5065,0.15%
13,001753,红土创新新兴产业混合A,2026-05-07,4.589,4.589,5.96,8.13,37.93,54.93,73.96,291.89,345.1,202.11,67.79,358.9,287.5845,0.15%
14,011370,华商均衡成长混合C,2026-05-07,3.328,3.328,4.5,7.72,28.87,60.22,98.32,291.25,355.33,250.98,73.85,232.8,288.1955,0.00%
15,001437,易方达瑞享混合I,2026-05-07,11.1704,11.1704,5.69,7.84,34.6,59.5,89.34,291.02,321.21,227.39,63.57,1017.04,273.9171,0.06%
16,002692,富国创新科技混合A,2026-05-07,4.604,4.604,5.6,8.28,34.82,63.03,79.21,290.5,271.29,190.29,61.15,360.4,283.0283,0.15%
17,001438,易方达瑞享混合E,2026-05-07,9.0356,9.0356,5.69,7.84,34.58,59.43,89.16,290.26,319.67,225.49,63.46,803.56,273.1714,0.00%
18,011120,富国创新科技混合C,2026-05-07,4.459,4.459,5.59,8.28,34.75,62.8,78.72,288.41,267.0,185.1,60.8,78.22,280.7857,0.00%
19,011891,易方达先锋成长混合A,2026-05-07,3.833,3.833,5.71,8.4,36.43,60.3,93.28,285.3,316.59,216.41,66.96,283.3,268.5223,0.15%
