symbol,name,turnover_amount,date,close,buy_signal,add_on_signal,sell_signal,sell_reason,action,signal_age,holding_days,position_state,atr_stop_price,atr_stop_signal,entry_signal_type,execution_advice,score,volume_ratio,rsi,market_filter_passed,market_add_on_passed,market_regime,market_breadth,market_regime_level,market_filter_source,market_reason,execution_priority,execution_priority_rank
sz000636,风华高科,9120990250.0,2026-05-26,41.7,True,False,False,,买入,0.0,,待买入,,False,突破买入,今天收盘确认突破买入，默认按下一交易日开盘再执行。 若次日开盘低于当日收盘约 0.3% 以上，建议取消机械买入。 若次日开盘高于突破位约 5.5% 以上，或重新低于突破位，不建议机械追价。,185.85,2.65,88.33,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,买入,2
sz002938,鹏鼎控股,7878923584.0,2026-05-26,116.0,True,False,False,,买入,0.0,,待买入,,False,突破买入,今天收盘确认突破买入，默认按下一交易日开盘再执行。 若次日开盘低于当日收盘约 0.3% 以上，建议取消机械买入。 若次日开盘高于突破位约 5.5% 以上，或重新低于突破位，不建议机械追价。,183.32,2.4,85.87,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,买入,2
sh688362,甬矽电子,4432978000.0,2026-05-26,75.58,True,False,False,,买入,0.0,,待买入,,False,突破买入,今天收盘确认突破买入，默认按下一交易日开盘再执行。 若次日开盘低于当日收盘约 0.6% 以上，建议取消机械买入。 若次日开盘高于突破位约 11.0% 以上，或重新低于突破位，不建议机械追价。,151.74,2.81,80.89,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,买入,2
sz002156,通富微电,21114037309.0,2026-05-26,75.39,True,False,False,,买入,0.0,,待买入,,False,突破买入,今天收盘确认突破买入，默认按下一交易日开盘再执行。 若次日开盘低于当日收盘约 0.3% 以上，建议取消机械买入。 若次日开盘高于突破位约 5.5% 以上，或重新低于突破位，不建议机械追价。,142.86,2.03,76.74,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,买入,2
sz002185,华天科技,24447552828.0,2026-05-26,18.67,True,False,False,,买入,0.0,,待买入,,False,突破买入,今天收盘确认突破买入，默认按下一交易日开盘再执行。 若次日开盘低于当日收盘约 0.3% 以上，建议取消机械买入。 若次日开盘高于突破位约 5.5% 以上，或重新低于突破位，不建议机械追价。,113.72,2.23,80.83,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,买入,2
sz300223,北京君正,14016018420.0,2026-05-27,160.01,True,False,False,,买入,0.0,,待买入,,False,突破买入,今天收盘确认突破买入，默认按下一交易日开盘再执行。 若次日开盘低于当日收盘约 0.6% 以上，建议取消机械买入。 若次日开盘高于突破位约 11.0% 以上，或重新低于突破位，不建议机械追价。,109.42,2.28,64.84,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,买入,2
sh600396,华电辽能,4318292533.0,2026-05-26,16.88,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,218.53,1.07,72.46,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sh603773,沃格光电,4043876767.0,2026-05-27,99.99,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,218.45,1.46,71.02,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sz300408,三环集团,9754014310.0,2026-05-27,122.99,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,185.58,1.71,87.22,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sh688256,寒武纪,18926941351.0,2026-05-26,1410.96,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,168.77,1.0,63.44,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sh688072,拓荆科技,9222581981.0,2026-05-26,750.0,False,False,False,,持仓,,0.0,持仓,596.97,False,突破买入,当前按系统仍处于持仓状态，已持有 0 个交易日，继续持有并跟踪风控价。 当前 ATR 风控价约为 596.97。,163.45,1.44,83.26,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sh688313,仕佳光子,7973951554.0,2026-05-26,171.08,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,156.3,0.88,60.23,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sz300776,帝尔激光,4315850724.0,2026-05-26,155.5,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,155.87,1.12,83.99,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sz300604,长川科技,7805080600.0,2026-05-26,235.1,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,155.59,0.9,68.95,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
sh601991,大唐发电,7166251944.0,2026-05-26,7.16,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,152.58,1.16,70.22,True,True,风险开,1.0,2,宽度过滤,指数 000300 获取失败，已回退到宽度过滤；趋势广度 100%,观察,4
