symbol,name,last_price,turnover_amount,pct_change,turnover_rate,amplitude
bj920000,安徽凤凰,16.49,9909087.0,1.539,,
bj920001,纬达光电,15.29,15283727.0,0.592,,
bj920002,万达轴承,96.62,142967216.0,1.78,,
bj920003,中诚咨询,32.1,15489873.0,0.156,,
bj920005,鼎佳精密,35.83,7022901.0,0.477,,
bj920006,晟楠科技,20.56,10199038.0,-0.146,,
bj920007,酉立智能,54.1,9869834.0,0.82,,
bj920008,成电光信,26.83,14463218.0,0.337,,
bj920009,丹娜生物,69.81,21297122.0,-2.213,,
bj920010,凯添燃气,13.5,73115429.0,-0.369,,
bj920011,晨光电机,28.26,101125262.0,1.655,,
bj920012,创达新材,73.84,294825064.0,5.456,,
bj920014,特瑞斯,12.43,13769554.0,1.718,,
bj920015,锦华新材,42.66,49743276.0,0.637,,
bj920016,中草香料,17.04,2861153.0,-0.234,,
bj920017,星昊医药,18.32,16395788.0,-0.272,,
bj920018,宏远股份,30.53,60740932.0,4.127,,
bj920019,铜冠矿建,18.55,19848645.0,-0.483,,
bj920020,泰凯英,16.48,7113415.0,0.611,,
bj920021,流金科技,10.67,143751747.0,1.042,,
bj920022,世昌股份,27.33,10044351.0,1.485,,
bj920023,*ST田野,2.35,13803483.0,0.858,,
bj920026,卓兆点胶,35.77,18854996.0,-0.777,,
bj920027,交大铁发,18.87,13022395.0,0.106,,
bj920028,新恒泰,23.0,328398774.0,8.593,,
bj920029,开发科技,69.67,23384081.0,0.302,,
bj920030,德众汽车,5.79,3365386.0,-0.172,,
bj920033,康普化学,17.46,11639657.0,-0.852,,
bj920035,精创电气,33.01,46497758.0,0.61,,
bj920036,觅睿科技,52.25,164062915.0,0.423,,
bj920037,广信科技,56.17,89619029.0,2.183,,
bj920039,国义招标,9.64,4851177.0,0.312,,
bj920045,蘅东光,599.7,399891646.0,0.59,,
bj920046,亿能电力,32.49,284214515.0,12.93,,
bj920047,诺思兰德,30.84,76872720.0,0.26,,
bj920050,爱舍伦,34.2,17898356.0,-0.581,,
bj920055,隆源股份,38.4,57802278.0,-1.665,,
bj920056,能之光,23.16,14040387.0,0.696,,
bj920057,百甲科技,6.25,2984868.0,-0.319,,
bj920058,华洋赛车,27.68,3683897.0,0.801,,
bj920060,万源通,33.72,100506503.0,0.867,,
bj920061,西磁科技,28.25,55379265.0,-4.237,,
bj920062,科润智控,10.94,44010936.0,3.208,,
bj920066,科拜尔,22.15,6163751.0,0.226,,
bj920068,天工股份,19.82,20016475.0,0.101,,
bj920069,普昂医疗,44.08,60457038.0,-2.044,,
bj920075,柏星龙,21.81,11880825.0,0.553,,
bj920076,国亮新材,22.65,21968143.0,1.297,,
bj920077,吉林碳谷,19.53,135963761.0,0.36,,
bj920078,族兴新材,33.44,151689628.0,-2.05,,
bj920080,奥美森,26.15,14667477.0,1.278,,
bj920082,方正阀门,15.29,6337512.0,0.065,,
bj920086,科马材料,33.51,134139422.0,5.51,,
bj920087,秋乐种业,14.05,41532916.0,0.861,,
bj920088,科力股份,44.43,67872332.0,-1.025,,
bj920089,禾昌聚合,17.75,16212889.0,-0.838,,
bj920090,*ST同辉,4.9,6381498.0,-0.204,,
bj920091,大鹏工业,55.86,72641247.0,3.349,,
bj920092,汉鑫科技,30.51,24145147.0,0.362,,
bj920098,科隆新材,25.34,9901301.0,0.317,,
bj920099,瑞华技术,29.54,9442521.0,-1.072,,
bj920100,三协电机,55.72,67378663.0,0.632,,
bj920101,志高机械,35.57,6568005.0,0.339,,
bj920106,林泰新材,55.84,14308990.0,0.0,,
bj920108,宏海科技,11.55,8313488.0,-0.943,,
bj920110,雷特科技,32.48,1359724.0,-0.733,,
bj920111,聚星科技,37.45,281836883.0,5.493,,
bj920112,巴兰仕,33.35,5315641.0,0.15,,
bj920116,星图测控,110.14,284726560.0,1.037,,
bj920118,太湖远大,22.58,17915285.0,3.673,,
bj920119,美德乐,99.86,76408790.0,0.01,,
bj920121,江天科技,38.8,18306413.0,0.701,,
bj920122,中纺标,26.86,7289562.0,0.449,,
bj920123,芭薇股份,13.33,3972048.0,-0.448,,
bj920124,南特科技,16.52,33518855.0,1.35,,
bj920125,鸿仕达,131.1,522594130.0,1.573,,
bj920128,胜业电气,24.94,8153365.0,1.094,,
bj920130,立方控股,19.9,8555054.0,0.505,,
bj920132,泰鹏智能,14.2,3518170.0,-0.56,,
bj920139,华岭股份,20.06,83644852.0,-0.199,,
bj920145,恒合股份,14.66,5569524.0,1.313,,
bj920146,华阳变速,6.98,5804151.0,0.287,,
bj920149,旭杰科技,10.35,4330833.0,-0.862,,
bj920152,昆工科技,18.34,47438827.0,-2.809,,
bj920156,海昌智能,69.51,271340592.0,-1.767,,
bj920158,长江能科,17.62,31414949.0,1.673,,
bj920159,农大科技,42.93,43524089.0,2.263,,
bj920160,北矿检测,24.84,23518760.0,0.73,,
bj920163,方大新材,12.88,4991375.0,0.94,,
bj920166,海圣医疗,28.97,30918509.0,-1.697,,
bj920167,同享科技,20.76,61851632.0,0.0,,
bj920168,通宝光电,21.95,20671259.0,-0.046,,
bj920169,七丰精工,29.86,67541026.0,2.401,,
bj920171,志晟信息,23.08,79880421.0,-1.745,,
bj920174,五新隧装,42.16,70394710.0,4.356,,
bj920175,东方碳素,10.15,5609725.0,0.595,,
bj920177,恒道科技,37.8,74269794.0,0.0,,
bj920179,凯德石英,54.63,178338955.0,1.392,,
bj920180,爱得科技,16.33,28433595.0,0.678,,
bj920181,赛英电子,111.99,210693070.0,-1.729,,
bj920183,海菲曼,46.87,107403788.0,2.605,,
bj920184,国源科技,16.25,17398935.0,-0.672,,
bj920185,贝特瑞,31.16,120652967.0,-0.032,,
bj920186,中科仪,113.0,1663214626.0,2.737,,
bj920187,通领科技,37.06,31679438.0,1.395,,
bj920188,悦龙科技,30.46,59628484.0,-1.264,,
bj920190,雷神科技,24.44,30892968.0,-1.253,,
bj920191,瑞尔竞达,13.87,82186223.0,1.02,,
bj920195,三祥科技,16.55,8499298.0,-0.181,,
bj920198,微创光电,9.0,11655899.0,1.351,,
bj920199,倍益康,34.0,15812801.0,-0.585,,
bj920200,振宏股份,80.3,686640584.0,14.274,,
bj920204,沪江材料,17.07,20418850.0,0.708,,
bj920207,众诚科技,30.39,43539047.0,-0.426,,
bj920208,青矩技术,23.71,8576600.0,0.0,,
bj920212,智新电子,12.56,6503761.0,-0.475,,
bj920221,易实精密,15.84,5838776.0,0.892,,
bj920223,荣亿精密,18.03,30585436.0,1.292,,
bj920225,利通科技,27.83,32865509.0,1.829,,
bj920227,美登科技,65.51,26326424.0,0.414,,
bj920230,欧康医药,12.67,53266529.0,0.237,,
bj920237,力佳科技,20.23,12393122.0,0.149,,
bj920239,长虹能源,30.57,28596948.0,-0.618,,
bj920242,建邦科技,26.1,7247083.0,0.307,,
bj920245,威博液压,25.98,5560997.0,-0.65,,
bj920247,华密新材,20.31,37974936.0,-0.343,,
bj920249,利尔达,11.37,118962567.0,-2.654,,
bj920252,天宏锂电,26.45,19942370.0,0.0,,
bj920260,中寰股份,9.88,3727551.0,-0.704,,
bj920261,一诺威,15.48,11854156.0,-0.769,,
bj920262,太湖雪,17.1,6770528.0,-0.117,,
bj920263,中航泰达,10.1,6445485.0,-0.198,,
bj920266,生物谷,8.21,4213581.0,-0.122,,
bj920267,鑫汇科,19.1,4324642.0,0.0,,
bj920270,天铭科技,18.56,72528624.0,-1.119,,
bj920271,XD邦德股,12.82,1960933.0,0.47,,
bj920273,一致魔芋,21.94,9520730.0,0.596,,
bj920274,宏裕包材,26.52,184816564.0,16.316,,
bj920275,驱动力,7.26,6578602.0,-0.548,,
bj920278,鹿得医疗,8.12,4430260.0,-0.368,,
bj920284,灵鸽科技,39.79,195899183.0,2.341,,
bj920299,灿能电力,25.18,102037620.0,5.932,,
bj920300,辰光医疗,11.79,8733252.0,0.942,,
bj920304,迪尔化工,11.64,5749195.0,0.345,,
bj920305,*ST云创,0.0,0.0,0.0,,
bj920339,恒太照明,8.53,5917600.0,0.235,,
bj920344,三元基因,22.31,36186767.0,-4.167,,
bj920346,威贸电子,21.44,9919059.0,1.371,,
bj920351,华光源海,17.32,21048791.0,-0.46,,
bj920357,雅葆轩,26.95,31343710.0,-1.642,,
bj920363,莱赛激光,17.15,14602607.0,0.882,,
bj920367,新赣江,19.41,13075770.0,-1.02,,
bj920368,连城数控,40.84,538053636.0,3.971,,
bj920370,新安洁,3.48,3345724.0,-0.571,,
bj920371,欧福蛋业,9.22,8044592.0,0.217,,
bj920374,云里物里,20.53,10081860.0,0.391,,
bj920375,派诺科技,14.27,54160120.0,3.331,,
bj920378,泰德股份,8.83,2519351.0,0.569,,
bj920392,佳合科技,20.21,7848843.0,1.609,,
bj920394,民士达,50.7,37179570.0,0.158,,
bj920395,朗鸿科技,9.97,2430407.0,0.302,,
bj920396,常辅股份,30.19,26054522.0,0.869,,
bj920402,硅烷科技,9.86,53961103.0,3.571,,
bj920403,康农种业,23.21,32750254.0,0.913,,
bj920405,海希通讯,17.28,26104203.0,-4.0,,
bj920407,驰诚股份,18.3,7368795.0,0.329,,
bj920414,欧普泰,12.11,17041122.0,1.254,,
bj920415,恒拓开源,12.79,10453659.0,0.078,,
bj920418,苏轴股份,26.14,40464801.0,0.5,,
bj920419,路斯股份,13.2,3875992.0,-0.151,,
bj920422,润普食品,11.37,7343605.0,-1.044,,
bj920425,乐创技术,27.49,77277254.0,0.109,,
bj920427,华维设计,12.9,16667513.0,-2.273,,
bj920429,康比特,12.3,3867243.0,-0.081,,
bj920433,大唐药业,5.52,17370332.0,1.471,,
bj920436,大地电气,15.11,6687270.0,0.0,,
bj920438,戈碧迦,66.52,763791312.0,-4.808,,
bj920445,龙竹科技,9.72,11842322.0,-0.103,,
bj920454,同心传动,15.15,9434484.0,1.338,,
bj920455,汇隆活塞,8.04,3284589.0,0.626,,
bj920469,富恒新材,6.58,14264362.0,-1.053,,
bj920471,美邦科技,14.12,26747686.0,-2.755,,
bj920475,三友科技,14.54,7000300.0,-0.411,,
bj920476,海能技术,19.37,11940950.0,-0.616,,
bj920478,峆一药业,16.18,7855022.0,0.0,,
bj920489,佳先股份,15.15,24767761.0,-0.46,,
bj920491,奥迪威,26.17,24116455.0,-0.721,,
bj920493,并行科技,160.86,178865239.0,-1.27,,
bj920496,许昌智能,9.21,13273014.0,1.32,,
bj920504,博迅生物,22.05,2037479.0,0.593,,
bj920505,九菱科技,41.74,53010247.0,-2.998,,
bj920508,殷图网联,19.95,4801284.0,1.115,,
bj920509,同惠电子,34.29,98072619.0,2.973,,
bj920510,丰光精密,17.08,34887518.0,0.589,,
bj920519,万德股份,12.3,2740044.0,0.081,,
bj920522,纳科诺尔,55.94,112589425.0,-1.704,,
bj920523,德瑞锂电,23.58,13495133.0,0.042,,
bj920526,凯华材料,25.69,72517156.0,-3.53,,
bj920527,夜光明,18.55,9505882.0,1.979,,
bj920533,骏创科技,26.43,121806781.0,4.055,,
bj920541,铁大科技,12.48,9269877.0,0.645,,
bj920547,无锡晶海,23.0,4689129.0,-0.303,,
bj920553,凯腾精工,8.95,3645882.0,-0.112,,
bj920556,雅达股份,9.48,10037437.0,0.53,,
bj920564,天润科技,25.85,24241758.0,-0.309,,
bj920566,梓橦宫,11.09,10322752.0,-0.982,,
bj920570,坤博精工,31.51,19003947.0,0.478,,
bj920571,国航远洋,11.53,142876808.0,-0.689,,
bj920575,*ST康乐,4.17,25246254.0,-4.577,,
bj920576,天力复合,76.61,152167394.0,-1.631,,
bj920578,巨能股份,19.92,17602715.0,0.657,,
bj920579,机科股份,18.73,9985221.0,0.053,,
bj920580,科创新材,13.96,10285553.0,0.504,,
bj920592,华信永道,34.6,65466701.0,2.732,,
bj920593,鼎智科技,29.92,76573146.0,0.571,,
bj920599,同力股份,19.19,31081701.0,0.104,,
bj920608,丰安股份,16.78,3266438.0,0.239,,
bj920627,力王股份,20.95,17856021.0,0.048,,
bj920634,新威凌,21.24,12790631.0,-0.235,,
bj920639,晨光电缆,8.27,31861921.0,3.894,,
bj920640,富士达,38.57,139353898.0,-0.49,,
bj920641,格利尔,17.89,14112353.0,-0.112,,
bj920642,通易航天,12.66,15860829.0,-0.784,,
bj920651,天罡股份,27.68,10367246.0,-0.61,,
bj920656,海昇药业,16.3,6210018.0,-0.972,,
bj920662,方盛股份,24.58,12130086.0,-0.486,,
bj920663,明阳科技,16.74,14784446.0,0.24,,
bj920665,科强股份,11.49,8175397.0,-0.519,,
bj920670,数字人,15.22,17845028.0,-0.588,,
bj920675,秉扬科技,9.76,9770839.0,0.103,,
bj920679,前进科技,18.68,2960229.0,-0.585,,
bj920682,球冠电缆,9.53,93651527.0,6.719,,
bj920685,新芝生物,12.93,3684331.0,0.233,,
bj920689,克莱特,28.62,7845106.0,0.175,,
